Sr no,Date,Startup name,Industry Vertical,Sub Vertical,City Location,Investment Name,Investment Type,Amount in USD,Remarks
1522,08/7/2016,HolaChef,Consumer Internet,Online Food Ordering & Delivery Platfo,Mumbai,"Kalaari Capital, Indi",Private Equity,"19,50,000",nan
1523,11/7/2016,Purplle,eCommerce,Beauty Products Marketplace,Mumbai,"JSW Ventures, Blum",Private Equity,"60,00,000",nan
1524,11/7/2016,Trak N Tell,Technology,Car Tracking & Safety System,Gurgaon,Brian Acton,Private Equity,"35,00,000",nan
1525,11/7/2016,Overcart,eCommerce,Unboxed & refurbished electronic prod,Gurgaon,"JSW Ventures, Omi",Private Equity,"30,00,000",nan
1526,12/7/2016,SirionLabs,Technology,SAAS based Service Agreement Mana,Gurgaon,Sequoia Capital,Private Equity,"1,22,50,000",nan
1527,12/7/2016,GyanDhan,Consumer Internet,Education Focused Financing Platform,New Delhi,Stanford Angels & E,Seed Funding,N/A,nan
1528,12/7/2016,MintM,Consumer Internet,Digital Marketing & AdTech Platform,Bangalore,"Mumbai Angels,\\xc",Private Equity,N/A,nan
1529,12/7/2016,HitGrit,Consumer Internet,Online Legal Consultation platform,Chandigarh,"Ashish Mahajan, Sa",Seed Funding,N/A,nan
1530,12/7/2016,Find My Stay,Consumer Internet,Online Budget Hotel Aggregator & Boo,New Delhi,"Rishi Parti, Yogesh",Seed Funding,N/A,nan
1531,13/7/2016,YAAP,Consumer Internet,"Online Content Discovery, Creation &",New Delhi,Rainmaker Venture,Private Equity,"50,00,000",nan
1532,13/7/2016,Utoo Cabs,Consumer Internet,Cab aggregation & Rental platform,Chennai,Ajay Piramal,Seed Funding,N/A,nan
1533,13/7/2016,Twigly,Consumer Internet,Online Food Ordering & Delivery Start,Gurgaon,"Tracxn Labs, Hyder",Seed Funding,"6,00,000",nan
1534,13/7/2016,ShareChat,Consumer Internet,Vernacular Language Content Creation,Bangalore,"SAIF Partners, India",Private Equity,"13,50,000",nan
1535,13/7/2016,Urban Tailor,Consumer Internet,E-Tailoring service provider,Bangalore,Unitus Seed Fund,Private Equity,N/A,nan
1536,13/7/2016,RentMojo,Consumer Internet,Online Furniture Renting Platform,Bangalore,"Accel Partners, IDG",Private Equity,"50,00,000",nan
1537,13/7/2016,CityFurnish,Consumer Internet,Online Furniture Renting Platform,Gurgaon,Brand Capital,Seed Funding,N/A,nan
1538,13/7/2016,HEAL Institute,Healthcare,Sports Focused Healthcare Startup,Mumbai,"Jaspal Bindra, Parth",Seed Funding,N/A,nan
1539,14/7/2016,Augrav,eCommerce,Personalized precious Jewellery etaile,Coimbatore,Keiretsu Forum,Seed Funding,"4,50,000",nan
1540,14/7/2016,ShoppinPal,Technology,M-Commerce Solutions for Retail Stor,Pune,Plug and Play Tech,Private Equity,"10,70,000",nan
1541,14/7/2016,TransTutors / AskIITians,Consumer Internet,Online Education & Tutoring portals,New Delhi,500 Startups,Private Equity,N/A,nan
1542,15/7/2016,WorkApps,Technology,Enterprise Work Management Softwar,Pune,SRI Capital,Seed Funding,"10,00,000",nan
1543,15/7/2016,BankerBay,Consumer Internet,Online Investment Banking platform,Bangalore,undisclosed investo,Private Equity,"20,00,000",nan
1544,15/7/2016,BaggOut,eCommerce,Women\\xe2\\x80\\x99s Fashion etailer,New Delhi,"Sumit Jain, Sumit J",Seed Funding,N/A,nan
1545,15/7/2016,TripShelf,eCommerce,Travel Package Marketplace,New Delhi,GEMS group,Seed Funding,"2,50,000",nan
1546,15/7/2016,SatvaCart,eCommerce,Online Grocers,New Delhi,"Abhijit Avasthi, Kara",Seed Funding,N/A,nan
1547,15/7/2016,Ridlr,Consumer Internet,Public Transport Mobile App,Mumbai,"Times Internet, Inno",Private Equity,"60,00,000",nan
1548,18/7/2016,Yellowdig,Consumer Internet,Online Learning Platform,Pune,SRI Capital,Seed Funding,"6,50,000",nan
1549,18/7/2016,Zuppler,Consumer Internet,Online Food Ordering platform,New Delhi,SRI Capital,Seed Funding,"6,50,000",nan
1550,18/7/2016,BlueStone,eCommerce,Jewellery Etailer,Mumbai,IIFL and Accel Part,Private Equity,"3,00,00,000",nan
1551,18/7/2016,underDOGS,Technology,Game Development Startup,Mumbai,Intelli Reboot Digita,Private Equity,N/A,nan
1552,18/7/2016,ImageProVision,Technology,Image Analysis Solutions,Pune,Satish Jamdar,Seed Funding,N/A,nan
1553,19/7/2016,Sagacito,Technology,Cloud-Based Enterprise Solutions,New Delhi,Star India Pvt. Ltd,Private Equity,"1,00,00,000",nan
1554,19/7/2016,Deal4Loans / Wishfin,Consumer Internet,\\nLoans Comparison platform\\n\\n\\n\,Noida,Franklin Templeton,Private Equity,"1,50,00,000",nan
1555,19/7/2016,NiYO Solutions,Technology,Payroll & Benefits Software solutions,Bangalore,Prime Venture Partn,Private Equity,"10,00,000",nan
1556,19/7/2016,AppLop,Consumer Internet,Mobile Apps SaaS Platform,Gurgaon,Green House Ventu,Seed Funding,"2,50,000",nan
1557,20/7/2016,Tax2Win,Consumer Internet,Online Tax Filing Portal,Jaipur,Undisclosed Investo,Private Equity,"10,00,000",nan
1558,20/7/2016,Truckola,Logistics,Tech-focused cargo transport startup,Mumbai,"Abhishek Agarwal,",Seed Funding,"5,95,000",nan
1559,20/7/2016,iServe Financial,Consumer Internet,Loan Comparison & Deals platform,Pune,Nilesh Shah,Seed Funding,N/A,nan
1560,21/7/2016,MyTaxiIndia,Consumer Internet,Online Car rental booking platform,New Delhi,Nihon Kotsu Co,Private Equity,"10,00,000",nan
1561,21/7/2016,AbeRuk,eCommerce,Online Marketplace for books,Bangalore,Swastika Company,Seed Funding,N/A,nan
1562,21/7/2016,Wiwigo,Consumer Internet,Inter-City Taxi Booking platform,Bangalore,Indian Angel Netwo,Seed Funding,"5,95,000",nan
1563,21/7/2016,Drums Food,Food & Beverage,Yogurt and Ice Cream maker,Mumbai,"Verlinvest, DSG Co",nan,nan,nan
1564,01/6/2016,Chikoop,Consumer Internet,Free Ad based Voice Calling,Indore,Undisclosed Investo,Seed Funding,N/A,nan
1565,01/6/2016,BRIDGEi2I,Technology,Data Analytics Platform,Bangalore,Edelweiss Private E,Private Equity,N/A,nan
1566,02/6/2016,Droom,eCommerce,Online marketplace for used automobil,New Delhi,"Beenext, Digital Ga",Private Equity,N/A,nan
1567,02/6/2016,Visit,Consumer Internet,On-Demand Healthcare Service provid,New Delhi,MapmyIndia,Seed Funding,N/A,nan
1568,02/6/2016,Atomberg,Technology,"smart, energy efficient home appliance",Mumbai,Parampara Capital,Private Equity,"10,00,000",nan
1569,02/6/2016,Coutloot,eCommerce,Fashion Re-Commerce Platform,Mumbai,Venture Catalysts,Seed Funding,N/A,nan
1570,02/6/2016,Limo,Consumer Internet,Bus Aggregator Mobile app,Mumbai,Rainmaker Venture,Private Equity,"10,00,000",nan
1571,03/6/2016,iCliniq,Consumer Internet,Doctor Consultation platform,Bangalore,MadhanKumar Mad,Seed Funding,N/A,nan
1572,03/6/2016,GoGo Truck,Consumer Internet,Truck Aggregator & Booking platform,Chennai,Undisclosed Investo,Seed Funding,"75,000",nan
1573,03/6/2016,Vyome Biosciences,Healthcare,Treatment Development for Antibiotic-r,New Delhi,Romulus Capital,Private Equity,"20,00,000",nan
1574,06/6/2016,SillyMonks,Consumer Internet,Digital Media and Entertainment Startu,Hyderabad,Sreenivasa Reddy,Seed Funding,"4,48,000",nan
1575,07/6/2016,CueMath,Education,K-12 Maths Learning Courses,Bangalore,"Sequoia Capital, Un",Private Equity,"40,00,000",nan
1576,07/6/2016,KrazyBee,Consumer Internet,Student Micro-Loan platform,Bangalore,"Yeahmobi, Fenqile",Private Equity,"20,00,000",nan
1577,07/6/2016,Intgrea,Technology,Post merger Integration Partners,Bangalore,Undisclosed Investo,Seed Funding,"1,00,000",nan
1578,07/6/2016,HelpShift,Technology,Mobile CRM Platform,Pune,"Microsoft Ventures,",Private Equity,"2,30,00,000",nan
1579,07/6/2016,CreditVidya,Technology,Credit Scoring Platform,Mumbai,Kalaari Capital,Private Equity,"10,00,000",nan
1580,08/6/2016,Grey Campus,Consumer Internet,Online Learning Platform,Hyderabad,Sarath Sura,Seed Funding,"10,00,000",nan
1581,08/6/2016,ListUp,eCommerce,Location based Classified Mobile app,Mumbai,"Kae Capital, Kunal",Seed Funding,"5,00,000",nan
1582,08/6/2016,6Degree,Technology,Tech-enabled Fashion Talent platform,Mumbai,Indian Angel Netwo,Seed Funding,"2,00,000",nan
1583,08/6/2016,Shopwati,Consumer Internet,Online Fashion Discussion Community,Gurgaon,Sanjiv Rai,Seed Funding,N/A,nan
1584,08/6/2016,Cookifi,Consumer Internet,Online Chef Discovery & Booking Serv,Bangalore,"Kunal Shah, Anees",Seed Funding,N/A,nan
1585,08/6/2016,StoreKing,eCommerce,Connecting Small Town Consumers to,Bangalore,Axiata Digital,Private Equity,"1,60,00,000",nan
1586,08/6/2016,Wired Hub,Real Estate,Co-Working Spaces,Jaipur,"Ankit Maheshwari,",Seed Funding,N/A,nan
1587,08/6/2016,MySeniorDoctor,Consumer Internet,Online medical support platform,Gurgaon,BlackJag Partners,Seed Funding,"2,00,000",nan
1588,09/6/2016,Teabox,eCommerce,Online Tea Store,Siliguri,Cameron Jones,Seed Funding,N/A,nan
1589,09/6/2016,ExtraaEdge,Consumer Internet,Student Acquisition Platform,Pune,"Ritesh Dwivedy, Prit",Seed Funding,N/A,nan
1590,09/6/2016,EPayLater,Technology,Fin-Tech Platform,Mumbai,3 undisclosed HNIs,Seed Funding,"20,00,000",nan
1591,10/6/2016,Kyazoonga,eCommerce,Online event ticketing Platform,Mumbai,Ratan Tata,Seed Funding,N/A,nan
1592,10/6/2016,Paytunes,Consumer Internet,Mobile based rewards platform,New Delhi,"CIO Angel Network,",Private Equity,"5,00,000",nan
1593,10/6/2016,Kickstart Jobs,Technology,Entry level hiring platform,Gurgaon,"Vivek Joshi, Mohit S",Seed Funding,N/A,nan
1594,10/6/2016,Freshee,FMCG,Household packaging & Storage produ,Mumbai,Edelweiss Private E,Private Equity,N/A,nan
1595,10/6/2016,MadRat Games,Technology,Wearable Gaming Platform,Bangalore,"Ratan Tata, Bhavish",Seed Funding,N/A,nan
1596,11/6/2016,Jazzmyride,eCommerce,Auto Parts & Accessories eTailer,New Delhi,TVS Automobile So,Private Equity,N/A,nan
1597,11/6/2016,AutoSense,Technology,Data Analytics based Customer Manag,New Delhi,TVS Automobile So,Private Equity,N/A,nan
1598,11/6/2016,Redsun Telematics,Consumer Internet,Internet of Things Platform,Chennai,TVS Automobile So,Private Equity,N/A,nan
1599,13/6/2016,KhanaGadi,Consumer Internet,Online Food Delivery for Train Traveler,Jaipur,50K Ventures,Seed Funding,N/A,nan
1600,13/6/2016,Bombay Shirt Company,eCommerce,Online custom Shirt retailer,Mumbai,undisclosed investo,Private Equity,"10,00,000",nan
1601,13/6/2016,Matrubharti,Consumer Internet,e-Book Publisher,,Viridian Capital,Seed Funding,"30,000",nan
1602,14/6/2016,EdTechReview,Consumer Internet,Education based online portal,New Delhi,EVC Ventures,Seed Funding,N/A,nan
1603,14/6/2016,Bonhomia,Food & Beverage,Premium Tea & Coffee Capsules make,New Delhi,Valpro Capital and e,Private Equity,N/A,nan
1604,14/6/2016,Gobolt,Logistics,B2B Logistics provider,New Delhi,MCube8,Seed Funding,N/A,nan
1605,14/6/2016,Jivox,Technology,Data Driven Advertising platform,Bangalore,"You & Mr Jones, Fo",Private Equity,"60,00,000",nan
1606,14/6/2016,Sminq,Consumer Internet,Queue management Mobile app,Pune,"Saama Capital, Blu",Seed Funding,"10,00,000",nan
1607,14/6/2016,CureJoy,Consumer Internet,Online Alternative health community pl,Bangalore,Accel Partners India,Private Equity,"44,00,000",nan
1608,15/6/2016,Oneway.cab,Consumer Internet,Taxi Rental Platform,Vadodara,Indian Angel Netwo,Seed Funding,"4,50,000",nan
1609,15/6/2016,GrabOnRent,eCommerce,On-demand product rental marketplac,Bangalore,IvyCap Ventures an,Private Equity,N/A,nan
1610,16/6/2016,Diro Labs,Consumer Internet,Contact Management Mobile App,New Delhi,Info Edge (India) Lt,Private Equity,"4,50,000",nan
1611,16/6/2016,Unnati Helpers,Consumer Internet,Help Hiring Platform,Gurgaon,Info Edge (India) Lt,Private Equity,"6,00,000",nan
1612,16/6/2016,Athletto,Consumer Internet,Sports Venue discovery and booking p,Bangalore,Atul Ingle,Seed Funding,N/A,nan
1613,16/6/2016,Saavn,Consumer Internet,Web/Mobile Music Streaming service,USA,Guy Oseary,Private Equity,N/A,nan
1614,16/6/2016,Voonik,eCommerce,Online Women\\xe2\\x80\\x99s Fashio,Bangalore,Sequoia Capital,Private Equity,"2,00,00,000",nan
1615,16/6/2016,ThinkPhi,Technology,Sustainable Green Tech Solution deve,Mumbai,Nimmagadda Prasa,Seed Funding,N/A,nan
1616,17/6/2016,Cleartax,Consumer Internet,Online Tax Filing Platform,New Delhi,"Ravi Adusumalli, SA",Private Equity,"1,20,00,000",nan
1617,17/6/2016,Silvan Innovation Labs,Technology,Home Automation Solutions,Bangalore,Infuse Ventures,Private Equity,"9,00,000",nan
1618,17/6/2016,GreytHR,Technology,Payroll & HR Software Developer,Bangalore,New Enterprise Ass,Private Equity,"52,00,000",nan
1619,17/6/2016,Duffl,eCommerce,Fashion Rental Marketplace,Bangalore,BetOnIndia Technol,Seed Funding,N/A,nan
1620,17/6/2016,BYG,Consumer Internet,Fitness centre Discovery & Booking M,Bangalore,"Sanjay Verma, Amit",Seed Funding,N/A,nan
1621,20/6/2016,Dipper,eCommerce,Freight Logistics Marketplace,New Delhi,Undisclosed investo,Seed Funding,N/A,nan
1622,20/6/2016,Qonfuse,Consumer Internet,Online Test Papers for competitive exa,New Delhi,Hamraj Kumar,Seed Funding,N/A,nan
1623,20/6/2016,The Indian IRIS,Consumer Internet,Govt Policy Research & Information po,Ahmedabad,Timbru Ventures,Seed Funding,N/A,nan
1624,21/6/2016,Onspoon,Consumer Internet,Online Platform for Event Sponsorship,Mumbai,Swan Angel Networ,Seed Funding,"1,50,000",nan
1625,21/6/2016,REstate,Consumer Internet,Real Estate Platform,Bangalore,Idein Ventures,Seed Funding,N/A,nan
1626,21/6/2016,Cleartrip,Consumer Internet,Online Travel Agency,Mumbai,Concur Technologie,Private Equity,N/A,nan
1627,21/6/2016,ProcMart,Consumer Internet,Online Procurement Marketplace,Noida,IndiaMart,Private Equity,N/A,nan
1628,21/6/2016,Celerix,Technology,Fintech Product Development & Servic,Bangalore,Bitkemy Ventures,Seed Funding,"4,00,000",nan
1629,21/6/2016,NatureNama,Consumer Internet,Online Outdoors & travel,Mumbai,Unicorn Venture,Seed Funding,"2,25,000",nan
1630,21/6/2016,CyclopsMedtech,Technology,Medical Technology Provider,Bangalore,CP Bothra,Seed Funding,N/A,nan
1631,21/6/2016,Syona Cosmetics,FMCG,Beauty Products & Training to Salons,Chennai,The Chennai Angel,Seed Funding,"1,50,000",nan
1632,21/6/2016,PrettySecrets,eCommerce,Women Lingerie Store,Mumbai,RB Investments PT,Private Equity,"60,00,000",nan
1633,22/6/2016,SpiderG,Consumer Internet,Online invoice app for SMEs,Pune,"Rahul Kirloskar, Fus",Seed Funding,"1,50,000",nan
1634,23/6/2016,FarEye,Technology,Logistics Management Software,New Delhi,Saif Partners,Private Equity,"35,00,000",nan
1635,23/6/2016,The Uolo,Consumer Internet,School Parent Communication App,Bangalore,"Purvi Ventures, Raj",Seed Funding,"2,10,000",nan
1636,23/6/2016,Staqu,Technology,Artificial Intelligence based search plat,Gurgaon,Indian Angel Netwo,Seed Funding,N/A,nan
1637,23/6/2016,Padhopadhao,Consumer Internet,Home Tutors search & Discovery,New Delhi,Rise India,Private Equity,N/A,nan
1638,24/6/2016,Drivify,Consumer Internet,Professional Driver discovery & Bookin,Mumbai,"Jitendra Gupta, Pan",Seed Funding,"50,000",nan
1639,24/6/2016,PratiLipi,Consumer Internet,Multi-Lingual self-publishing platform,Bangalore,Nexus Venture Part,Seed Funding,N/A,nan
1640,24/6/2016,ParaBlu,Technology,Cloud Data Security & Privacy Solution,Bangalore,Kalaari Capital,Seed Funding,"5,00,000",nan
1641,24/6/2016,Schedulers Logistics,Logistics,Cold Storage Logistics solutions,Mumbai,GVFL,Private Equity,"60,00,000",nan
1642,24/6/2016,LEAP India,Others,Supply Chain Equipment & Services pr,Mumbai,Mayfield Ventures,Private Equity,"30,00,000",nan
1643,24/6/2016,KabadiExpress,Others,Free Door Step Scrap Pickup Service,New Delhi,Undisclosed investo,Seed Funding,"1,48,000",nan
1644,27/6/2016,YourDost,Consumer Internet,Online counselling & Personal coachin,Bangalore,"SAIF Partners, Apra",Seed Funding,"12,00,000",nan
1645,27/6/2016,Gomalon,Consumer Internet,Online Spa & Salon discovery & Booki,Bangalore,Undisclosed investo,Seed Funding,"1,00,000",nan
1646,27/6/2016,Voler Cars,Consumer Internet,Self-Driven Car rental platform,New Delhi,"Kanodia family, Ami",Seed Funding,N/A,nan
1647,27/6/2016,Travelyaari,Consumer Internet,Online ticket booking platform,Bangalore,GVFL Ltd,Private Equity,"30,00,000",nan
1648,28/6/2016,FabHotels,Consumer Internet,Online Hotel aggregator & Booking pla,Gurgaon,"Accel Partners, RB",Private Equity,"80,00,000",nan
1649,28/6/2016,Locanix,Technology,GPS based SaaS Solutions,Ahmedabad,Undisclosed investo,Seed Funding,"3,00,000",nan
1650,28/6/2016,LendingKart,Consumer Internet,Online Working Capital Business Loan,Ahmedabad,Bertelsmann India I,Private Equity,"3,20,00,000",nan
1651,28/6/2016,Hello Tax,Consumer Internet,Online Tax Filing Platform,New Delhi,Sanjeev Sinha,Seed Funding,"2,95,000",nan
1652,28/6/2016,MySuperBrain,Consumer Internet,Online Talent Discovery Platform for Ki,Hyderabad,Soniks Consulting,Seed Funding,N/A,nan
1653,28/6/2016,BlogBeats,Consumer Internet,Online Blogging Platform,Bangalore,Undisclosed Investo,Seed Funding,N/A,nan
1654,29/6/2016,LetReach,eCommerce,ECommerce SAAS Solutions,New Delhi,vCommission,Private Equity,"1,00,000",nan
1655,29/6/2016,TrendieApp,Technology,Visual Content Marketing,Kolkata,Harsh Vardhan Had,Seed Funding,"50,000",nan
1656,29/6/2016,ImpactGuru,Consumer Internet,Crowdfunding Platform,Mumbai,Piyush Jain,Seed Funding,N/A,nan
1657,29/6/2016,Velvetcase,eCommerce,Online designer jewellery marketplace,Mumbai,Uniqorn Ventures F,Private Equity,"15,00,000",nan
1658,30/6/2016,Meru Cabs,Consumer Internet,Online/ Mobile Tax Cab booking,Mumbai,Brand Capital,Private Equity,"2,50,00,000",nan
1659,30/6/2016,Campus Diaries,Consumer Internet,Student focussed Content Discovery p,Bangalore,Aarin Capital,Seed Funding,"2,20,000",nan
1660,30/6/2016,Scripbox,Consumer Internet,Online Mutual Fund Investment platfor,Bangalore,"Omidyar Network, A",Private Equity,N/A,nan
1661,30/6/2016,Biryani Blues,Food & Beverage,QSR Chain,Gurgaon,Carpediem Capital,Private Equity,"3,68,000",nan
1662,01/5/2016,MotoMojo,Consumer Internet,Mobile based Vehicle maintenance Ap,Mumbai,"Niloufer Dundh, Fau",Seed Funding,N/A,nan
1663,01/5/2016,Get My Parking,Technology,Parking Technology Platform,New Delhi,The Chennai Angel,Seed Funding,"3,76,000",nan
1664,01/5/2016,Prescribez,Consumer Internet,Health Service Aggregator Platform,Pune,Ankush Mehta,Seed Funding,"1,45,000",nan
1665,02/5/2016,Airwood,Technology,Agri Data & Analytics Platform,Chennai,StartupXseed Ventu,Seed Funding,N/A,nan
1666,03/5/2016,Mobikwik,Consumer Internet,Mobile & Digital Wallet,Gurgaon,GMO Payment Gat,Private Equity,"5,00,00,000",nan
1667,03/5/2016,iDreamCareer,Consumer Internet,Career Planning Services Portal,New Delhi,Brand Capital,Private Equity,N/A,nan
1668,03/5/2016,Zwayam,Consumer Internet,Online Recruitment Platform,Bangalore,Undisclosed investo,Seed Funding,"2,50,000",nan
1669,03/5/2016,BoiBanit,Consumer Internet,Online Food Delivery platform,Vadodara,Undisclosed investo,Seed Funding,N/A,nan
1670,03/5/2016,Zuver,Consumer Internet,Car driver Discovery App,Mumbai,Shruth & Smith Gro,Seed Funding,"1,80,000",nan
1671,03/5/2016,Prepathon,Education,Competitive Exam learning platform,Mumbai,Blume Ventures,Private Equity,N/A,nan
1672,04/5/2016,EasyRoads,Consumer Internet,Road Trip planning Mobile app,Mumbai,"Rohan Angrish, Hris",Seed Funding,"2,00,000",nan
1673,04/5/2016,Lenskart,eCommerce,Eyewear & Accessories etailer,New Delhi,International Financ,Private Equity,"6,00,00,000",nan
1674,04/5/2016,Seclore,Technology,Enterprise Security Technology platfor,Mumbai,"Sistema Asia Fund,",Private Equity,"1,20,00,000",nan
1675,04/5/2016,SolarTown,Technology,Solar Rooftop system installation comp,Chennai,Grex,Seed Funding,"2,00,000",nan
1676,04/5/2016,Comarete,Technology,Telecom & Media IT services company,Pune,Grex,Seed Funding,"2,00,000",nan
1677,04/5/2016,MyDentistChoice,eCommerce,Medical Supplies eTailer,Hyderabad,Undisclosed investo,Seed Funding,"1,50,000",nan
1678,04/5/2016,Active,Technology,Intelligent Tech platform for Finance ve,Singapore,Kalaari Capital Acce,Seed Funding,"5,00,000",nan
1679,04/5/2016,Affordplan,Technology,Affordable non-emergency medical ser,New Delhi,Kalaari Capital Acce,Seed Funding,"5,00,000",nan
1680,04/5/2016,Indee,Consumer Internet,Web Video Streaming Platform,Bangalore,Kalaari Capital Acce,Seed Funding,"5,00,000",nan
